wkt_geom,fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
"MultiPoint ((114.30494500000000357 30.53393900000000016),(114.38649552343440519 30.48296944673883857))",1760,4.20111E+11,1328A,9654.403078,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,48.89315068,85.85753425,55.48219178,11.33150685,5.81E-05,153.074
"MultiPoint ((114.38645699999999295 30.62975099999999884),(114.42002254982034515 30.51329066115504318))",1747,4.20111E+11,1331A,13306.49142,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,48.38082192,83.90410959,55.10958904,8.465753425,5.81E-05,153.074
"MultiPoint ((114.29549799999999493 30.6063459999999985),(114.42002254982034515 30.51329066115504318))",1746,4.20111E+11,1327A,15784.62271,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,51.30958904,94.24657534,49.78356164,9.367123288,5.81E-05,153.074
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.42002254982034515 30.51329066115504318))",1745,4.20111E+11,1330A,20787.0944,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,53.73972603,83.9260274,53.43013699,8.753424658,5.81E-05,153.074
"MultiPoint ((114.35354139999999745 30.58268419999999921),(114.42002254982034515 30.51329066115504318))",1744,4.20111E+11,1325A,9993.749174,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,48.41369863,81.10958904,37.9260274,,5.81E-05,153.074
"MultiPoint ((114.13591800000000376 30.62591507000000135),(114.38649552343440519 30.48296944673883857))",1751,4.20111E+11,1333A,28794.7888,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,54.12328767,89.73424658,46.28493151,8.276712329,5.81E-05,153.074
"MultiPoint ((114.30494500000000357 30.53393900000000016),(114.42002254982034515 30.51329066115504318))",1750,4.20111E+11,1328A,11279.37524,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,48.89315068,85.85753425,55.48219178,11.33150685,5.81E-05,153.074
"MultiPoint ((114.39685199999999554 30.61899500000000174),(114.42002254982034515 30.51329066115504318))",1749,4.20111E+11,1329A,11927.55513,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,61.99726027,95.99452055,50.93972603,9.561643836,5.81E-05,153.074
"MultiPoint ((114.25827400000000011 30.55532499999999985),(114.42002254982034515 30.51329066115504318))",1748,4.20111E+11,1326A,16206.6412,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,49.46027397,84.0739726,51.39452055,9.263013699,5.81E-05,153.074
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.38649552343440519 30.48296944673883857))",1755,4.20111E+11,1330A,17018.92999,3.04E-05,6.71E-05,2.70E-05,5.41E-06,1.05E-05,3.58E-06,2.25E-06,3.58E-06,0,53.73972603,83.9260274,53.43013699,8.753424658,5.81E-05,153.074
