城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,沉湖七壕,1334A,2017/1/1,149,112,132,1.67,54,35,27,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/2,207,159,136,1.56,20,71,22,重度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/3,207,160,160,1.86,60,27,22,重度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/4,227,194,0,1.97,62,7,17,重度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/5,46,33,18,1.63,26,17,3,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/6,22,14,11,0.98,15,29,3,优,
武汉,沉湖七壕,1334A,2017/1/7,28,19,22,0.93,15,32,5,优,
武汉,沉湖七壕,1334A,2017/1/8,62,45,52,0.92,20,45,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/9,136,104,108,1.53,46,35,14,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/10,118,89,75,1.23,24,65,7,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/11,140,106,0,1.22,18,45,5,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/12,116,87,0,1.11,7,72,5,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/13,70,50,44,0.9,18,53,6,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/14,98,73,96,0.95,41,41,11,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/15,60,41,57,0.68,18,57,5,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/16,89,66,83,0.87,36,44,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/17,86,64,68,0.76,15,64,5,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/18,129,98,104,0.98,36,27,4,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/19,168,127,157,1.03,19,48,5,中度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/20,99,63,121,0.56,15,68,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/1/21,80,51,95,0.66,22,58,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/22,105,79,114,0.84,27,57,11,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/23,107,80,109,0.93,30,56,16,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/24,106,79,94,1.03,22,60,14,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/25,122,92,80,0.95,13,63,6,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/26,67,48,56,0.65,13,68,6,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/27,164,120,206,1.06,13,65,9,中度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/28,232,183,216,1.37,17,49,16,重度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/29,145,110,126,1.2,9,46,11,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/30,146,110,125,1.18,8,66,12,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/1/31,92,68,84,0.87,9,53,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/1,74,54,56,0.75,5,45,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/2,89,66,0,0.73,9,37,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/3,103,77,0,0.87,8,23,9,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/4,56,40,33,0.93,8,27,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/5,61,44,62,1.11,15,34,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/6,164,132,76,1.47,28,18,13,中度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/7,84,62,67,0.89,14,48,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/8,64,47,0,0.7,6,69,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/9,123,93,0,0.93,11,65,12,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/10,77,55,57,0.64,17,72,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/11,60,42,57,0.59,23,70,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/12,66,45,61,0.59,26,70,5,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/13,84,62,70,0.74,51,28,3,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/14,0,0,0,0,0,0,0,,
武汉,沉湖七壕,1334A,2017/2/15,219,172,0,0.98,12,129,41,重度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/16,123,93,115,1.04,18,98,33,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/17,192,153,205,1.31,27,50,23,中度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/18,114,85,112,0.97,25,40,14,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/19,152,115,144,1.23,22,51,15,中度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/20,120,87,149,1.17,34,44,12,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/21,48,17,60,0.71,19,40,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/2/22,83,61,73,0.76,10,52,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/23,73,53,63,0.8,12,70,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/24,73,52,69,0.88,20,73,11,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/25,74,54,63,0.87,8,102,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/26,78,57,74,0.89,9,108,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/27,75,52,75,0.84,31,79,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/2/28,90,65,93,0.65,35,78,15,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/1,98,50,108,0.5,22,77,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/2,80,20,110,0.36,22,73,11,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/3,74,40,97,0.53,26,66,14,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/4,116,81,134,1.05,69,13,18,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/5,87,65,70,0.77,18,43,9,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/6,217,203,166,1.32,22,77,10,重度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/7,136,103,102,1.1,16,91,11,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/8,107,80,97,0.87,28,85,15,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/9,90,66,85,0.85,39,85,15,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/10,82,60,55,0.93,14,79,11,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/11,71,52,44,0.95,10,59,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/12,60,42,47,0.97,28,51,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/13,31,20,20,0.78,8,81,7,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/14,50,24,52,0.77,14,74,10,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/15,58,41,50,0.76,24,55,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/16,73,53,51,0.53,9,77,3,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/17,0,0,0,0,0,0,0,,
武汉,沉湖七壕,1334A,2017/3/18,0,0,0,0,0,0,0,,
武汉,沉湖七壕,1334A,2017/3/19,0,0,0,0,0,0,0,,
武汉,沉湖七壕,1334A,2017/3/20,40,27,33,0.6,13,85,2,优,细颗粒物(PM2.5)
