fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1","420115087000",1333A,43516.9015306616,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"2","420115087000",1334A,69945.1484248048,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"3","420115087000",1332A,16815.9430429063,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"4","420115087000",1325A,22915.6281516063,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"5","420115087000",1330A,32545.0018631682,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"6","420115087000",1327A,28999.8220190803,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"7","420115087000",1331A,24100.3049251245,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"8","420115087000",1326A,29692.1763303669,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"9","420115087000",1329A,22546.2773694205,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"10","420115087000",1328A,24685.0402445039,1.69545346077173e-06,3.83544654845312e-06,4.54877757768025e-07,1.13719439442006e-07,2.89467664034198e-07,8.27050468669137e-08,0,8.27050468669137e-08,0,,,,
"11","420116006000",1333A,44169.427894376,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"12","420116006000",1334A,87335.9395411463,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"13","420116006000",1332A,39369.5780658042,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
