fid,InputID,TargetID
"1","420115087000",1333A
"2","420115087000",1334A
"3","420115087000",1332A
"4","420115087000",1325A
"5","420115087000",1330A
"6","420115087000",1327A
"7","420115087000",1331A
"8","420115087000",1326A
"9","420115087000",1329A
"10","420115087000",1328A
"11","420116006000",1333A
"12","420116006000",1334A
"13","420116006000",1332A
"14","420116006000",1325A
"15","420116006000",1330A
"16","420116006000",1327A
"17","420116006000",1331A
"18","420116006000",1326A
"19","420116006000",1329A
"20","420116006000",1328A
"21","420116011000",1333A
"22","420116011000",1334A
"23","420116011000",1332A
"24","420116011000",1325A
"25","420116011000",1330A
"26","420116011000",1327A
"27","420116011000",1331A
"28","420116011000",1326A
"29","420116011000",1329A
"30","420116011000",1328A
"31","420115005000",1333A
"32","420115005000",1334A
"33","420115005000",1332A
"34","420115005000",1325A
"35","420115005000",1330A
"36","420115005000",1327A
"37","420115005000",1331A
"38","420115005000",1326A
"39","420115005000",1329A
"40","420115005000",1328A
"41","420116002000",1333A
"42","420116002000",1334A
"43","420116002000",1332A
"44","420116002000",1325A
"45","420116002000",1330A
"46","420116002000",1327A
"47","420116002000",1331A
"48","420116002000",1326A
"49","420116002000",1329A
"50","420116002000",1328A
"51","420112002000",1333A
"52","420112002000",1334A
"53","420112002000",1332A
"54","420112002000",1325A
"55","420112002000",1330A
"56","420112002000",1327A
"57","420112002000",1331A
"58","420112002000",1326A
"59","420112002000",1329A
"60","420112002000",1328A
"61","420116015000",1333A
"62","420116015000",1334A
"63","420116015000",1332A
"64","420116015000",1325A
"65","420116015000",1330A
"66","420116015000",1327A
"67","420116015000",1331A
"68","420116015000",1326A
"69","420116015000",1329A
"70","420116015000",1328A
"71","420116003000",1333A
"72","420116003000",1334A
"73","420116003000",1332A
"74","420116003000",1325A
"75","420116003000",1330A
"76","420116003000",1327A
"77","420116003000",1331A
"78","420116003000",1326A
"79","420116003000",1329A
"80","420116003000",1328A
"81","420116013000",1333A
"82","420116013000",1334A
"83","420116013000",1332A
"84","420116013000",1325A
"85","420116013000",1330A
"86","420116013000",1327A
"87","420116013000",1331A
"88","420116013000",1326A
"89","420116013000",1329A
"90","420116013000",1328A
"91","420116004000",1333A
"92","420116004000",1334A
"93","420116004000",1332A
"94","420116004000",1325A
"95","420116004000",1330A
"96","420116004000",1327A
"97","420116004000",1331A
"98","420116004000",1326A
"99","420116004000",1329A
"100","420116004000",1328A
"101","420106015000",1333A
"102","420106015000",1334A
"103","420106015000",1332A
"104","420106015000",1325A
"105","420106015000",1330A
"106","420106015000",1327A
"107","420106015000",1331A
"108","420106015000",1326A
"109","420106015000",1329A
